link,content,place,date,time,in advance,cover,image
https://www.instagram.com/_a_c_s___/p/DJdZN_oJ_Ll/,"your arms are my cocoon & godfuck Korea Tour 2025
미국 스크리모 베드룸 팝 밴드 your arms are my cocoon @yourarmsaremycocoon 과 일렉트로닉 스크리모 밴드 godfuck @godfuck_ 의 공연이 ACS와 BabyDoll에서 진행됩니다. 더불어 스페셜 게스트로 Asian Glow @audinjeee01, 담담구구 @damdamgugu , The Apop @theapop_official , 오미일곱 @omimimimimimimi7 , palecistus @palecistus_letsgo 도 함께합니다.

TOUR >> DAY 1
*2025.7.4 (FRI) / 입장 6:30PM, 공연 시작 7PM
*장소 : ACS @_a_c_s___ / 중구 수표로6길 10 지하1층
*출연진 : your arms are my cocoon, godfuck, Asian Glow, 담담구구
*입장료 : 예매:35000원, 현매:45000원 (예매는 @https.jester.co.kr 프로필 링크 혹은 해당 링크 (https://forms.gle/7SPETo5LWu1wKkcr9) 에서 예매 가능합니다)

TOUR >> DAY 2
*2025.7.5 (SAT) / 입장 6:00PM, 공연 시작 6:30PM
*장소 : BabyDoll @babydoll_seoul / 서울특별시 서대문구 창천동 52-139
*출연진 : your arms are my cocoon, godfuck, The Apop, 오미일곱, palecistus
*입장료 : 예매:35000원, 현매:45000원 (예매는 @https.jester.co.kr 프로필 링크 혹은 해당 링크 (https://forms.gle/pgVeb2pzjapTkruU6) 에서 예매 가능합니다)

*유의사항
1.입장은 공연 시작 30분 전부터 선착순 비지정석제로 진행됩니다.
2.현매 입장 시 계좌이체 또는 현금으로 만 결제가 가능하니 참고해 주시기 바랍니다.
3.관람 도중 슬램 등의 과격한 행위가 발생될 수 있는 점 참고 바랍니다.

* 공연문의 : @https.jester.co.kr

The American screamo bedroom pop band ""your arms are my cocoon"" @yourarmsaremycocoon and the electronic screamo band ""godfuck"" @godfuck_ are coming to Korea for live shows at ACS and BabyDoll

Joining them as special guests are Asian Glow @audinjeee01, damdamgugu @damdamgugu , The Apop @theapop_official , omilgop @omimimimimimimi7 , and palecistus @palecistus_letsgo

*July 4, 2025 (FRI) Doors Open: 6:30 PM / Show Starts: 7PM
*Venue: ACS @a_c_s__ / B1, 10 Supyo-ro 6-gil, Jung-gu, Seoul
*Lineup: your arms are my cocoon, godfuck, Asian Glow, damdamgugu
*Tickets: Advance: 35,000 KRW, At the Door: 45,000 KRW (Tickets available via @https.jester.co.kr profile link or https://forms.gle/7SPETo5LWu1wKkcr9 )

*July 5, 2025 (SAT) Doors Open: 6PM / Show Starts: 6:30PM
*Venue: BabyDoll @babydoll_seoul / 52-139, Changcheon-dong, Seodaemun-gu, Seoul
*Lineup: your arms are my cocoon, godfuck, The Apop, omilgop, palecistus
*Tickets: Advance: 35,000 KRW, At the Door: 45,000 KRW (Tickets available via @https.jester.co.kr profile link or https://forms.gle/pgVeb2pzjapTkruU6 )

*Inquiries: @https.jester.co.kr",서울 중구 수표로6길 10 지하1층,2025.7.4,18:30,35000,45000,
https://www.instagram.com/_a_c_s___/p/DJvQpH6zPEQ/,"Dayoung과 Mokhzolla 수강생들의 수료 파티!

다들 첫 긱 때의 그 설렘, 떨림, 손바닥 수문개방… ‘X됐다’싶은 그 감정, 그리고 그 도파민과 성취감 다들 기억하시죠?
이 감정을 느낄 새로운 얼굴들이 한데 모여 마침표를 찍고 새로운 도약을 하려고합니다!
우리 모두 모여 함께 축하하고 투박하지만 아름다운 열정에 불을 지펴주세요.

Bokchoii @bokchoii_ii
wootoori @_ji__sookim
Wonye @quesera0
rue @rxsxyx
Nongzang @ennzn
Ezy @ezy.coming
SEOK @notsuckbutseok
gummyho @9ummyho
saskia9 @novaselleen
Ondea @ondeasangnam

@_a_c_s___
30th May, 08pm-02am
Door 10,000won

Flyer @ennzn",서울 중구 수표로6길 10 지하1층,,20:00,10000,,
https://www.instagram.com/_a_c_s___/p/DIQeZOIJ2-z/,"[2025.4.27] “돌진 / 突進” w/ Ryosuke Kiyasu

현재도 쉬지 않고 세계 투어를 진행하고 있는 일본의 스네어 드럼 솔로 연주자 료스케 키야스가 한국을 방문한다. 스네어 드럼과 드럼스틱 (때로는 마이크를 사용하며) 한 악기가 보여줄 수 있는 모든 음향적 가능성을 탐구하는 공연으로 리스너들을 사로잡고 있는 료스케 키야스를 환영하는 공연 “돌진 / 突進”이 충무로역 인근을 지키고 있는 ACS에서 진행된다. 오프닝 셋은 없으며, 스네어 드럼 솔로 셋으로만 진행된다. 그라인드코어부터 프리재즈를 통과해 즉흥연주까지 연결되는 공연 “돌진 / 突進”에 음악을 사랑하는 여러분들의 많은 관심을 기다린다.

* 일시: 2025년 4월 27일(일) 오후 6시
* 장소: ACS (중구 수표로6길 10 지하1층, https://www.instagram.com/acs.kr/)
* 출연진: Ryosuke Kiyasu
* 입장료: 예매 20,000원 / 현매 25,000원 (예매는 smallshowsinseoul.blogspot.com)

Ryosuke Kiyasu

료스케 키야스는 2003년부터 활동해 온 국제적으로 유명한 스네어 드럼 솔로 연주자다. 혁신적인 퍼포먼스로 잘 알려진 료스케 키야스는 SETE STAR SEPT, Kiyasu Orchestra, Keiji Haino의 밴드 Fushitsusha와 같은 그룹의 드러머로도 활동하고 있다. 솔로 프로젝트와 밴드 활동을 포함해 200장 이상의 앨범을 발표한 료스케 키야스는 전 세계를 무대로 경계를 허무는 연주를 선보이며, 청중들에게 강렬한 영감을 주고 있다.

* 예매 안내

- 본 공연은 비지정석 스탠딩 공연으로 선착순 입장으로 진행됩니다.
- 공연입장료와 별도로 1인 1음료 주문필수입니다.
- 예매로 티켓이 매진되는 경우 현장 판매는 진행하지 않으며, 공연 당일 잔여석에 한하여 티켓 현장 판매가 진행됩니다.
- 본 공연은 별도 티켓이 배부되지 않으며, 현장에서 예매자 성명과 연락처 확인 후 입장이 가능합니다.
- 예매 취소는 공연 전날 밤 12시까지 가능하며, 당일 취소는 불가합니다.
- 당일 환불 및 취소는 불가합니다.
- 문의는 helicopter.seoul@gmail.com로 보내주세요)",서울 중구 수표로6길 10 지하1층,2025.4.27,18:00,20000,25000,
https://www.instagram.com/_a_c_s___/p/DIQAIfrzlGy/,"움직임

모든 것은 움직임이죠. 몸도, 시간도, 소리도, 마음도…. 현재 아시아 투어를 돌고 있는 뉴욕 베이스의 라이브 퍼포먼서 ANNIHIL과 한국에서 활동하는 라이브 퍼포먼서 Joyul, DOKKAEBI, K-Supermotel, Nmrl Space, miedo가 공연을 채웁니다. 이들이 몸을 움직이며 만들어내는 소리—즉 파형의 움직임을 경험해 보세요.

장소 | ACS 중구 수표로6길 10 지하
일시 | 2025. 04. 17. 목. 19:00- 23:00
출연진ㅣ조율, ANNIHIL(nyc), 미도, DOKKAEBI,
K특급모텔, Nmrl Space
입장료 | 20000원

기획 및 문의 | 미도 @w.ofear
아트워크 | 서현서 @oesandoess",서울 중구 수표로6길 10 지하1층,,19:00,20000,,
https://www.instagram.com/_a_c_s___/p/DIJglNIzHPh/,"2025/4/11(Fri) 8PM-
KOMAoto in South Korea
At ACS @_a_c_s___
DOOR: 15,000 W

LINE UP:
ax⭐︎🇯🇵 @aaxstar
chouchou fatsnagnotes🇯🇵 @chouchouispure
avalanche death @davidcho__
HASHTAGPOPE @hashtagpope
Javi Suh @jav2suh
kimj @youngkimj
AUTOPILOT77_77 @autopilot77_77
POI @poinsaneodle",서울 중구 수표로6길 10 지하1층,,20:00,15000,,
https://www.instagram.com/_a_c_s___/p/DHhucD6JeLI/,"✬✬✬✬✬✬✬✬✬✬✬✬✬✬
[D-???] 괴상한 아시안음악가들과 방방 뛰노는
괴상한축제 괴버GOiiBBER @asiangabberfestivalgoiibber 의 머천다이즈 ꧁ 괴상한 쑈 ꧂ 티셔츠를 소개합니다.

Color: BLACK
Size: L / XL

- 앞면 단면 프린팅되어 있습니다.
- 제품은 프린트스타 사용하였습니다.
- 한정수량, 당일 현장에서만 구입 가능합니다.
38,000 krw ( 현금 / 카드 / 계좌 )

디자인: 시봉새
제작: @foe.kr
✬✬✬✬✬✬✬✬✬✬✬✬✬✬✬✬✬✬✬✬✬✬✬✬✬✬

[ASIAN GABBER FESTIVAL GOiiBBER : 방방방 w/Y-DRA(인도네시아)]

* 일시: 2025년 3월 29일 토요일 20:00 - 03:00

* 출연진: 🇮🇩Y-DRA(족자카르타, 인도네시아), BACKSTAGE (w/ hope4us ), SAIKI TOSHIO, K-SUPER MOTEL, ROZE, NOI, MEEHER✟NAVI, SWING AND KICKGOING, CBONGSAE

* 장소: @_a_c_s___ (중구 수표로6길 10 지하1층)

* 사전예매Prev: 20,000 ￦ / 현장티켓Door: 25,000 ￦
ㅣ예매폼은 @asiangabberfestivalgoiibber 또는 @_a_c_s___ 프로필 링크를 체크하세요!
ㅣ당일 현장인원에 따라 현매가 제한될 수 있습니다.
ㅣ입장관련 문의는 @asiangabberfestivalgoiibber

* 기획: 시봉새 @c_bong_sae",서울 중구 수표로6길 10 지하1층,2025.3.29,20:00,38000,,
https://www.instagram.com/_a_c_s___/p/DG3BQO6TKPu/,"【나머지반 영상일기 vol.02】
성적이 저조하고 학생기록이 처참해서, 새학기부터 학급에 남아야하는 나머지반 친구들이 있습니다. 나머지반 친구들은 유튜브가 더 좋습니다. 그래서 그들은 자부합니다. 성적이 저조해도 선생님한테 혼나도 우리의 재생목록과 함께라면 뭐가 대수냐고. 취하면 취할수록 빠져드는 영상과 낯선 알고리즘을 자랑하는 나머지반에 참관하세요. 이번에는 전학생들과 교환학생도 참여합니다. ( 당일 이벤트는 음악과 볼거리가 있는 상영이벤트입니다.)

일시 : 2025 / 3 / 7 金曜日 20:00 ~ ♪
장소 : @_a_c_s___ (중구 수표로6길 10)
입장 : 무료 (1인 1주문 필수)

나머지반 :
2000- 점프시 @jump__si
*DIY 호러 스톱모션
2030- 링고 @_iamringo
*방구석 둠칫 두둠칫 국내 전자음악 .zip
2100- K 특급모텔 @k_supermotel
*그 시절 우리가 좋아했던 총각들. _대만편_
2130- MURASAKI @murasaki_jsn
*주의 : 절대 공복에 시청하지말 것!
2200- PAOLA @paolalaf
*(이태리에서 온 파올라가 엄선한) 밀레니엄 가요톱텐.
2230- 팔팔정 @s2_ahndo_s2
*자꾸만 눈에 밟히는 전학생.
2300- ????? ???

기획 / 홍보물 : @s2_ahndo_s2",서울 중구 수표로6길 10 지하1층,,20:00,,0,
https://www.instagram.com/_a_c_s___/p/DGh5Xk3J1gF/,"* 안내드립니다 : PRAED 멤버 라이드 야신의 비자 문제로 인해 한국 방문이 어렵게 되었습니다. 아쉽게도 PRAED의 공연은 클라리넷 멤버 패드 콘카가 PRAED의 음악을 연주하는 HALF PRAED의 편성으로 진행될 예정입니다. 추가로 우륵과 풍각쟁이들과 패드 콘카가 함께 PRAED의 음악을 연주하는 협연의 자리도 있을 예정이니, 이쪽에도 많은 관심 부탁드립니다.

[2025.3.15] ”돌진 / 突進“ w/ HALF PRAED(from Beirut), 우륵과 풍각쟁이들

베이루트를 기반으로 활동하는 밴드 HALF PRAED가 한국을 방문한다. 아랍 대중문화의 이국적인 요소를 중심으로 프리 재즈, 스페이스 재즈, 사이키델릭 록을 끌어안고 새로운 장르를 창조하는 밴드 HALF PRAED를 환영하는 공연 ”돌진 / 突進“이 충무로역 인근을 지키고 있는 ACS에서 진행된다. 같이 하는 밴드는 국악 아방가르드 재즈 밴드 우륵과 풍각쟁이들이 등장한다. 전통 음악부터 프리 재즈, 사이키델릭 록을 통과하여 전자음악까지 연결되는 공연 ”돌진 / 突進“에 음악을 사랑하는 여러분들의 많은 관심을 기다린다.

* 일시: 2025년 3월 15일(토) 20:00 - 22:00
* 장소: ACS (중구 수표로6길 10 지하1층, https://www.instagram.com/acs.kr/)
* 출연진: HALF PRAED(from Beirut), 우륵과 풍각쟁이들
* 입장료: 예매 30,000원 / 현매 35,000원 (예매는 smallshowsinseoul.blogspot.com)

HALF PRAED

2006년 키보드와 보컬을 담당하는 라이드 야신(Raed Yassin)과 클라리넷 연주자 패드 콘카(Paed Conca)에 의해 결성된 ”프래드(PRAED)“는 아랍 대중음악, 프리 재즈, 전자음악이 혼합된 독창적인 음악 세계를 구축한 밴드이다. 이번 서울 공연은 라이드 야신의 비자 문제로 인해 패드 콘카가 PRAED의 음악을 연주하는 HALF PRAED의 편성으로 진행될 예정이다.

프래드는 아랍 대중음악인 ”샤아비(Shaabi)“를 중심으로 프리 재즈, 스페이스 재즈, 사이키델릭 록 등 세계 각국의 몽환적이고 최면적인 음악 장르와의 연결성을 탐구한다. 밴드는 결성 초기부터 샤아비가 이집트 사회의 복잡한 구조를 반영하는 매개체라고 인식했으며, 연구를 통해 샤아비 사운드와 종교적 트랜스 의식에서 연주되는 “모울레드(Mouled)” 음악 간의 강한 문화적 연결성을 발견했다. 또한, 샤아비 음악이 지닌 최면적이고 사이키델릭한 효과가 프리 재즈나 사이키델릭 록과도 유사한 특징을 공유한다는 점에 주목했다.

”PRAED는 세상 어디에도 없는 독창적인 음악을 만들어낸다. 아랍 대중문화의 이국적인 요소를 탐구하면서도, 이를 매우 흥미롭고 혁신적인 방식으로 표현한다. 프리 재즈와 전자음악을 참조하면서도 완전히 새로운 장르를 창조하며, 듣는 이의 심장을 요동치게 만든다. 더 바랄 것이 있을까.“ (2016년 7월 15일 Cyclic Defrost에 실린 Bob Baker Fish의 리뷰)",서울 중구 수표로6길 10 지하1층,2025.3.15,20:00,30000,35000,
https://www.instagram.com/_a_c_s___/p/DFkGp8QptXE/,"청춘펑크 컴필레이션 앨범 [초차원급 컴팩트 디스크vol.1] 발매공연 ♪ 일시 : 2025년 2월 22일 토요일 18:00 - ♪ 장소 : ACS (중구 수표로 6길 10) ♪ 출연진 : 돌격! 밤꽃부대, 쓰렉, 종이유람선, 이디어츠, 스윗가솔린, 롱타임노쉿 ♪ 입장료 : 예매 30,000원 / 현매 35,000원ㅣ예매폼 링크 @_a_c_s___ 또는 @hyper.dimensional_cd 프로필 참고 ♪ 기획 / 문의 : @thnk_hm , @docheon_i ♪ 홍보물 : @docheon_i

펑크(punk)는 영국의 청년 노동자 커뮤니티가 즐기는 음악으로 시작되었다고 하는데요, 지구 반대편 한국에서는 펑크 밴드 한다는 사람치고 세대 불문 에반게리온 안 본 사람이 거의 없는 거 같습니다. 어째 본토와 다르게 흘러가는 한국 씬의 특징에 주목한 최재윤(롱타임노쉿)과 이도천(스윗가솔린)은 폭력, 섹스, 마약, 프리미어 리그, no future, 맥주 대신 만화, 애니메이션, 게임, 인터넷 서핑, no 이불 밖, 막걸리 따위에 절여진 한국의 기세 넘치고 엉뚱한 펑크 밴드들을 소개하기로 합니다.. 공연장에 오시는 모든 분들께 컴필레이션 앨범의 CD를 증정합니다.. 공연도 보고 전설로 남을 콤팩트-디스크도 챙겨가구 완전… ㄹㅓㄱㅋ ㅣ~~ 2월 6일 오후 8시까지는 특별 예매 기간으로 현장에서 수령할 한정판 티셔츠와 키링도 예약주문할 수 있습니다!

공연 순서 및 소개
Trash Moses 쓰렉 @trashmoses
타투이스트이자 언더그라운드 레이블 WDI@wdikorea의 공동 대표. 현재 ...Whatever That Means@wtmpunk의 베이스 겸 보컬과 몽키갱워@mgwpunk의 보컬로 활동중이다. 2000년대부터 펑크씬에서 활동한 노련한 플레이어지만 솔로 아티스트로서는 설레는 첫 데뷔이다.
-
Paper Cruise 종이유람선 @paper_cruise00
왑띠가 기획한 ‘포스트락 갤러리 컴필레이션’에서 정제되지 않는 강력한 에너지의 데뷔곡을 선보이며 마니아 사이에서 이름을 알린 경상남도 밀양 출신의 밴드. 이 컴필레이션 앨범을 기점으로 본격적인 활동을 계획중이다.
-
Charge! Chestnut Flowers 돌격! 밤꽃부대 @charge_chestnut_flowers
원테이크 녹음한 EP로 씬에 혜성처럼 등장한 밴드. 현재 정규앨범 작업을 진행하면서 어떻게 날것의 사운드를 낼지 미친듯이 연구중이다.
-
Idiots 이디어츠 @idiots.band
일본 멜로딕 펑크에 영향을 많이 받은 음악과 메세지 있는 가사가 특징적이다. 보컬 문주나는 홍대 지하아이돌로도 오랜 기간 활동했으며 동료 밴드인들과 팟캐스트 ’밴드맨의 제이팝 가챠‘를 진행하고 있다.
-
Sweet Gasoline 스윗가솔린 @sweetgasoline_official
인터넷에서 ’한국 청춘펑크 밴드 추천‘하면 초록불꽃소년단과 함께 항상 추천되는 밴드. 잠깐의 휴식기를 마치고 폭주하는 기관차처럼 공연을 달리고 있다.
-
Long Time No Shit 롱타임노쉿 @longtimenoshit
재치있는 가사와 넓은 음악적 스펙트럼이 특징인 롱타임노쉿은 대학교 작곡동아리에서 결성되었다. 작년 2024 상상마당 밴드 디스커버리 TOP 6에 선정되어 펑크씬 밖으로도 활동 변경을 넓히게 된 롱타임노쉿은 펑크 입문 밴드를 자처하고 있다.",서울 중구 수표로6길 10 지하1층,2025.2.22,18:00,30000,35000,
https://www.instagram.com/_a_c_s___/p/DFKlw2gJD55/,"...성적이 저조하고 학생기록이 처참해서 방학에도 학급에 가야하는 나머지반 친구들이 있습니다. 나머지반 친구들은 유튜브가 더 좋습니다. 그래서 그들은 자부합니다. 성적이 저조해도 선생님한테 혼나도 우리의 재생목록과 함께라면 뭐가 대수냐고. 취하면 취할수록 빠져드는 영상과 낯선 알고리즘을 자랑하는 나머지반에 참관하세요! ( 당일 이벤트는 음악과 볼거리가 있는 상영이벤트입니다.)

-
📺나머지반 영상일기 vol.01 * 상영일시 : 2025년 1월 24일 金曜日 20:00(상영시작)
* 나머지반 : 통조림, 안도, 점프시, K특급모텔, 인간 * 상영관 : @_a_c_s___ (중구 수표로6길 10) * 입장료 : 무료 (1인 1주문 필수) * 기획 / 홍보물 : 안도

-

[ 🎞️상영 시간표 ]
🎥2000-2040 인간 @woohooohoohoo
ㄴ 내 심금을 울렸던 낡고 일그러진 .avi)
🎥2040-2120 점프시 @jump__si
ㄴ 플래쉬 미디어는 아직도 현재 진행중~~
🎥2120-2200 K특급모텔 @k_supermotel
ㄴ 그 시절 우리가 좋아했던 총각들.. 그 중 유승준이 와따
🎥2200-2240 통조림 @tongjolim
ㄴ 청소년기를 빛내준 귀엽지만 섬찟한 MV 메들리
🎥2240-2320 팔팔정 @s2_ahndo_s2
ㄴ 눈으로 감상하는 맛있는 불량식품
🎥2320-0000 YOUTUBE B2B
ㄴ ???????????",서울 중구 수표로6길 10 지하1층,2025.1.24,20:00,,0,
